District,State,Total Population,Asian Indian,Bangladeshi,Bhutanese,Burmese,Cambodian,Chinese except Taiwanese,Filipino,Hmong,Indonesian,Japanese,Korean,Laotian,Malaysian,Mongolian,Nepalese,Okinawan,Other Asian not specified,Other Asian specified,Pakistani,Sri Lankan,Taiwanese,Thai,Two or more Asian,Vietnamese
District 47,California,717209,6174,,,,16038,10543,31237,,,5528,16108,,,,,,,,,,,,4885,63558
District 48,California,727426,6860,,,,,15273,10139,,,9487,7004,,,,,,,,,,,,3033,72581
District 49,California,736520,8660,,,,,9278,13088,,,4477,4440,,,,,,,,,,,,,5274
District 5,Alabama,708691,2635,,,,,1864,,,,,2138,,,,,,,,,,,,,
District 5,Arizona,782680,9549,,,,,6657,6282,,,1575,3053,,,,,,,,,,,,,5361
District 5,California,727704,6171,,,,,9590,45735,,,2646,2123,2907,,,,,,,,,,,2296,4756
District 5,Colorado,772116,,,,,,2712,4881,,,1291,4489,,,,,,,,,,,,,
District 5,Connecticut,715601,9906,,,,,5992,,,,,1775,,,,,,,,,,,,,
District 5,Florida,722646,1776,,,,,2460,6557,,,,,,,,,,,,,,,,,3110
District 5,Georgia,751264,8315,,,,,5364,,,,,3766,,,,,,,,,,,,,8743
District 5,Illinois,737064,12617,,,,,5798,15809,,,1587,4521,,,,,,,,,,,,,4132
District 5,Indiana,757787,10512,,,,,5953,1905,,,,2283,,,,,,,,,,,,,
District 5,Kentucky,706248,,,,,,,,,,,,,,,,,,,,,,,,
District 5,Louisiana,749991,,,,,,,,,,,,,,,,,,,,,,,,
District 5,Maryland,759228,6209,,,,,6199,8905,,,,3029,,,,,,,,,,,,,
District 5,Massachusetts,760616,22492,,,,,36559,2149,,,2663,6345,,,,,,,,,,,,1345,4934
District 5,Michigan,682884,2296,,,,,,,,,,,,,,,,,,,,,,,
District 5,Minnesota,702022,8295,,,,,6073,1798,14515,,760,3412,,,,,,,,,,,,739,3446
District 5,Missouri,761929,1932,,,,,2019,1644,,,,,,,,,,,,,,,,,3517
District 5,New Jersey,745615,23544,,,,,11357,16932,,,2483,18943,,,,,,,,,,,,,
District 5,New York,784341,67380,14477,,,,6560,8940,,,,,,,,,,,,6132,,,,,
District 5,North Carolina,749093,1871,,,,,2585,,,,,,,,,,,,,,,,,,
District 5,Ohio,722212,2615,,,,,2362,,,,,,,,,,,,,,,,,,
District 5,Oklahoma,803924,5287,,,,,2588,,,,,1111,,,,,,,,,,,,,9105
District 5,Oregon,806326,2486,,,,,5655,3256,,,2129,2321,,,,,,,,,,,,,3128
District 5,Pennsylvania,702582,2409,,,,,5754,,,,,1667,,,,,,,,,,,,,
District 5,South Carolina,695549,2374,,,,,,,,,,,,,,,,,,,,,,,
District 5,Tennessee,758995,5614,,,,,3116,,,,,2335,1993,,,,,,,,,,,,3285
District 5,Texas,740618,3608,,,,,,1873,,,,,,,,,,,,,,,,,3076
District 5,Virginia,733693,2439,,,,,3410,,,,,1506,,,,,,,,,,,,,
District 5,Washington,696562,1756,,,,,4170,2613,,,1471,1481,,,,,,,,,,,,,2232
District 5,Wisconsin,720844,8859,,,,,4097,,,,,,,,,,,,,,,,,,
District 50,California,744267,2915,,,,,4691,18490,,,2667,2497,,,,,,,,,,,,1342,5604
District 51,California,730908,,,,,2565,4280,32482,,,1680,,2791,,,,,,,,,,,,10417
District 52,California,754053,22644,,,,,36090,40290,,,7173,11655,,,,,,,,,,2723,,3804,19924
District 53,California,761273,,,,,,8579,60971,,,4581,4634,,,,,,,,,,,,2869,11476
District 6,Alabama,698968,3060,,,,,2739,,,,,,,,,,,,,,,,,,
District 6,Arizona,762220,15534,,,,,6147,5039,,,,1933,,,,,,,,,,,,,2913
District 6,California,743423,14121,,,,,24946,17982,19252,,6093,2249,10498,,,,,,,,,,,3509,9603
District 6,Colorado,792196,10947,,,,,7054,3269,,,2048,7819,,,,,,,,,,,,,6420
District 6,Florida,740950,2767,,,,,,3683,,,,,,,,,,,,,,,,,
District 6,Georgia,742017,39780,,,,,16996,2298,,,1961,8745,,,,,,,,,,,,,3376
District 6,Illinois,725875,25663,,,,,11123,10601,,,2043,5218,,,,,,,,3400,,,,,2397
District 6,Indiana,718307,4157,,,,,2039,,,,,,,,,,,,,,,,,,
District 6,Kentucky,757699,3587,,,,,3224,1543,,,1640,,,,,,,,,,,,,,
District 6,Louisiana,785266,3421,,,,,3269,,,,,,,,,,,,,,,,,,6720
District 6,Maryland,762155,23209,,,,,24703,7163,,,1151,8739,,,,,,,,3137,,,,1554,5683
District 6,Massachusetts,762560,9750,,,,5043,6867,,,,,1777,,,,,,,,,,,,,2849
District 6,Michigan,713718,3254,,,,,1930,1540,,,,1708,,,,,,,,,,,,,
District 6,Minnesota,694849,2540,,,,,1513,,3311,,,2069,,,,,,,,,,,,,2113
District 6,Missouri,763913,,,,,,2230,1539,,,,,,,,,,,,,,,,,
District 6,New Jersey,745204,87365,,,,,21976,12146,,,,4805,,,,,,,,7314,,,,,
District 6,New York,742207,29795,12077,,,,168756,19415,,,2620,34641,,,,2069,,,,7888,,4536,,4031,2109
District 6,North Carolina,757229,,,,,,,,,,,,,,,,,,,,,,,,2622
District 6,Ohio,703764,,,,,,,,,,,,,,,,,,,,,,,,
District 6,Pennsylvania,726341,17419,,,,,6702,2379,,,,1812,,,,,,,,,,,,,
District 6,South Carolina,667841,1787,,,,,,,,,,,,,,,,,,,,,,,
District 6,Tennessee,746798,2284,,,,,,,,,,,,,,,,,,,,,,,
District 6,Texas,759949,5243,,,,,3270,,,,,,,,,,,,,,,,,,18010
District 6,Virginia,746117,2940,,,,,2911,1677,,,924,1846,,,,,,,,,,,,,1243
District 6,Washington,689399,,,,,,3041,11156,,,1950,3723,,,,,,,,,,,,,3316
District 6,Wisconsin,712513,2536,,,,,,,9568,,,,,,,,,,,,,,,,
District 7,Alabama,671659,,,,,,,,,,,,,,,,,,,,,,,,
District 7,Arizona,782330,,,,,,2132,3756,,,,,,,,,,,,,,,,,4828
District 7,California,739746,18847,,,,,23277,27180,6885,,4014,4921,,,,,,,,,,,,3620,16638
District 7,Colorado,775383,2111,,,,,4246,,2940,,2227,1483,,,,,,,,,,,,,6259
District 7,Florida,748154,9262,,,,,6293,4478,,,,,,,,,,,,,,,,,5042
District 7,Georgia,778970,30654,,,,,13680,2762,,,,24165,,,,,,,,4328,,,,1429,15430
District 7,Illinois,725329,15023,,,,,20347,5848,,,,3877,,,,,,,,,,,,,
District 7,Indiana,753500,4767,,,6398,,3383,,,,,,,,,,,,,,,,,,
District 7,Maryland,726536,16241,,,,,9252,2838,,,,10706,,,,,,,,4907,,,,,2516
District 7,Massachusetts,781304,11858,,,,,33489,2026,,,1743,4736,,,,,,,,,,,,,12869
District 7,Michigan,703759,1612,,,,,,,,,,,,,,,,,,,,,,,
District 7,Minnesota,663307,,,,,,851,690,1163,,,575,,,,,,,,,,,,,
District 7,Missouri,768753,,,,,,1855,1358,,,,,,,,,,,,,,,,,
District 7,New Jersey,745147,31172,,,,,22444,9136,,,,3883,,,,,,,,,,,,,
District 7,New York,750580,16150,,,,,105856,4622,,,2142,3263,,,,,,,,,,,,1164,
District 7,North Carolina,777138,,,,,,,,,,,,,,,,,,,,,,,,
District 7,Ohio,724257,,,,,,,,,,,,,,,,,,,,,,,,
District 7,Pennsylvania,718119,11148,,,,,7998,1748,,,,6648,,,,,,,,,,,,,2782
District 7,South Carolina,698776,1633,,,,,2173,,,,,,,,,,,,,,,,,,
District 7,Tennessee,752931,5293,,,,,2129,2140,,,,2331,,,,,,,,,,,,,
District 7,Texas,770276,24774,,,,,17393,6282,,,,4629,,,,,,,,5769,,,,,15492
District 7,Virginia,769141,14600,,,,,5541,2881,,,,2892,,,,,,,,,,,,,4556
District 7,Washington,746893,10284,,,,2434,22483,12035,,,7149,9130,,,,,,,,,,1609,1347,3559,11029
District 7,Wisconsin,707988,,,,,,,694,6915,,,,,,,,,,,,,,,,
District 8,Arizona,761786,6459,,,,,3446,6428,,,,,,,,,,,,,,,,,5316
District 8,California,719950,,,,,,,7411,,,,2528,,,,,,,,,,,,,
District 8,Florida,730040,4944,,,,,2837,2481,,,,,,,,,,,,,,,,,1855
District 8,Georgia,703499,3486,,,,,,1613,,,,,,,,,,,,,,,,,
District 8,Illinois,716738,50322,,,,,6216,13795,,,3064,5976,,,,,,,,5256,,,,,3030
District 8,Indiana,720806,1687,,,,,1423,,,,,,,,,,,,,,,,,,
District 8,Maryland,759725,14915,,,,,19109,7358,,,2668,8464,,,,,,,,,,,,,6212
District 8,Massachusetts,761328,9973,,,,,30092,2791,,,,,,,,,,,,,,,,,9059
District 8,Michigan,728626,10093,,,,,9391,1513,,,890,3861,,,,,,,,,,,,,
District 8,Minnesota,663113,,,,,,1034,773,,,,771,,,,,,,,,,,,,
District 8,Missouri,743300,,,,,,1716,,,,,,,,,,,,,,,,,,
District 8,New Jersey,774492,33328,,,,,13791,9090,,,1445,4497,,,,,,,,,,,,,
District 8,New York,772709,10396,,,,,15991,3373,,,867,1871,,,,,,,,4396,,,,,
District 8,North Carolina,772777,4317,,,,,2133,2271,1284,,,2312,,,,,,,,,,,,,
District 8,Ohio,725385,4447,,,,,3075,,,,,,,,,,,,,,,,,,
District 8,Pennsylvania,709322,16738,,,,,5839,2534,,,,4146,,,,,,,,,,,,,2227
District 8,Tennessee,709012,3922,,,,,3294,,,,,,,,,,,,,,,,,,
District 8,Texas,807525,5286,,,,,3956,3244,,,,,,,,,,,,,,,,,
District 8,Virginia,787232,15907,4035,,,,13531,10612,,,2552,8383,,,,,,,,9281,,,2294,1808,13070
District 8,Washington,725674,15807,,,,,13720,9353,,,3472,5575,,,,,,,,,,,,1925,5487
District 8,Wisconsin,725150,3251,,,,,,,8737,,,576,,,,,,,,,,,,,
District 9,Arizona,761619,11418,,,,,9675,5029,,,1632,2351,,,,,,,,,,,,,3216
District 9,California,750185,14029,,,,10987,11072,39285,7648,,2640,,,,,,,,,6458,,,,3391,7173
District 9,Florida,810034,6975,,,,,,5664,,,,,,,,,,,,,,,,,
District 9,Georgia,725451,,,,,,,,,,,,,,,,,,,,,,,,2010
District 9,Illinois,723142,25941,,,,,12749,16627,,,3641,8841,,,,,,,,10425,,,,1966,5408
District 9,Indiana,743185,4370,,,,,4888,,,,,,,,,,,,,,,,,,
District 9,Massachusetts,735926,,,,,,3631,,,,,,,,,,,,,,,,,,
District 9,Michigan,717306,10112,3160,,,,3727,4533,,,,1746,,,,,,,,,,,,,
District 9,New Jersey,758209,26140,4166,,,,12398,9323,,,3803,39305,,,,,,,,,,,,,
District 9,New York,746279,8598,,,,,23535,1896,,,1598,1865,,,,,,,,8885,,,,,
District 9,North Carolina,772073,8741,,,,,3193,1210,,,,1825,,,,,,,,,,,,,2403
District 9,Ohio,710563,1924,,,,,2129,,,,,,,,,,,,,,,,,,
District 9,Pennsylvania,694033,,,,,,,,,,,,,,,,,,,,,,,,
District 9,Tennessee,705996,2683,,,,,,,,,,703,,,,,,,,,,,,,2504
District 9,Texas,780017,15617,,,,,16627,8272,,,,,,,,,,,,4434,,,,,35091
District 9,Virginia,714326,2225,,,,,3341,,,,,,,,,,,,,,,,,,
District 9,Washington,726425,27469,,,,4230,40212,25960,,,8746,15671,3355,,,,,,,,,2398,,6166,25052
Resident Commissioner District (at Large),Puerto Rico,3468963,4630,,,,,,,,,,,,,,,,,,,,,,,
